objid,predictions
5626,0
15206,2
24660,0
24662,0
17919,2
18335,0
11295,1
11681,1
10605,0
16132,0
16783,0
2941,0
24597,2
1257,2
1572,2
12628,0
12207,0
16733,0
2943,1
1145,0
12898,2
7013,2
21875,0
5315,1
3435,0
11663,2
11036,2
8005,0
19208,1
23382,0
3729,0
22166,0
12879,0
3473,2
3150,2
13837,0
422,0
16280,0
8562,2
19010,2
17327,0
13243,2
3614,0
17309,0
13231,0
4419,2
9223,1
12827,2
7835,0
25785,2
9120,1
6321,0
9716,0
16343,0
21711,0
10361,2
13889,0
13693,0
15348,0
2582,2
963,0
980,2
19475,2
260,0
10841,0
18084,1
26309,2
5394,0
9553,2
11884,2
9852,1
12514,1
3329,0
21859,0
5755,0
14503,2
21427,0
25399,1
4986,0
15549,2
13570,0
10577,0
16549,0
22869,0
19247,2
16207,0
20961,0
23959,0
5076,2
12972,2
6457,0
19922,1
23009,0
7084,0
13260,0
13671,2
12637,2
4144,1
19260,0
655,2
12766,0
2446,2
11021,0
24152,0
11167,2
17098,1
22796,0
5899,0
329,0
1043,1
19320,1
12124,0
20372,0
7398,0
13111,0
2004,0
679,2
3835,2
16564,0
17494,1
15561,1
26600,0
21772,0
24665,0
16561,2
5549,0
22919,0
16005,0
15225,0
17221,0
26216,0
25457,0
20504,2
22885,0
15742,0
6448,0
5063,2
15483,0
13137,0
1230,2
3873,0
25480,0
20529,0
16682,1
18843,2
12080,1
7166,2
13050,0
1783,0
15444,0
19423,0
12735,0
6906,0
25379,0
4287,2
21757,0
17127,0
24048,0
13765,0
6682,2
4056,2
15747,0
445,2
8590,2
4967,0
20532,0
15409,0
25608,0
7406,1
2256,0
22347,0
6538,0
2458,2
501,0
14125,2
6073,2
25308,0
19469,1
23767,0
12809,1
20030,0
25597,0
19268,0
5935,2
23261,0
10564,2
18712,0
14384,2
18586,0
1884,0
12966,0
13840,1
23357,0
4339,0
17364,2
24394,0
8748,2
5604,2
318,1
16000,0
16570,2
12458,0
13186,2
18965,0
10576,2
10403,2
15227,0
3390,2
7607,2
412,2
8026,0
2538,0
9733,2
524,0
2071,0
8114,0
12143,1
2279,2
20203,0
19526,2
16801,0
1619,2
20003,0
12557,0
8845,0
1437,2
8651,0
989,0
25903,0
995,0
6844,2
5745,2
16708,0
14666,2
23614,0
15181,2
4244,1
16943,0
16886,0
19485,2
18892,1
14933,2
14010,0
9345,2
15875,2
12235,2
23625,0
17450,2
1385,1
13779,0
7580,2
13884,0
395,0
2041,0
2376,2
15814,0
26057,0
121,0
12256,0
25941,0
1280,2
14498,0
17573,0
14180,2
7958,1
9016,2
2142,2
6936,1
864,0
5712,0
19024,2
4774,1
6340,0
69,2
22683,2
3238,1
8912,0
8875,2
13781,2
26330,0
7889,0
19868,0
3540,1
6662,2
11947,0
7915,2
1615,0
9572,0
809,2
12575,0
9222,1
13000,0
6284,0
4401,2
25055,0
14975,1
25161,0
18025,2
19435,2
12035,2
259,2
15504,0
3145,2
13225,1
19177,0
5725,2
8517,2
7469,0
10565,0
5031,0
19172,1
17200,0
25632,0
16665,0
714,0
5220,0
4351,2
2797,0
17522,0
12968,1
1688,0
23183,0
13351,0
12307,2
18635,1
14625,0
10895,1
23933,0
8163,0
6389,2
5353,0
11305,0
2557,0
14160,0
17514,0
9537,2
8034,0
7232,2
2342,0
19169,0
19637,0
13444,0
9587,2
2915,0
14602,0
22453,0
10657,0
25816,0
16520,2
25185,1
14926,1
9665,2
2693,1
4885,2
9440,1
17460,0
6519,0
11550,2
11843,2
18426,0
1763,0
3392,1
16892,2
22964,0
10041,0
14518,0
9192,1
10845,2
10495,2
5871,2
8216,0
4697,1
5356,0
23898,0
18219,0
10422,2
21020,0
2718,2
9174,2
11679,2
21934,0
15897,2
15493,0
18764,0
11740,0
6927,0
17451,0
21413,0
10217,2
5132,0
625,0
21524,0
7,2
25639,0
22536,2
10557,2
14754,0
4217,0
2390,0
10391,0
17922,0
10347,2
966,2
17075,2
8255,0
20631,0
2124,0
18521,2
24296,0
11617,1
2842,2
13902,0
7820,0
14232,0
11064,0
19703,2
19824,2
15527,2
564,2
15613,0
910,0
11311,2
19617,0
15480,0
1914,2
6418,2
22203,0
5466,0
8028,0
26329,0
1368,0
10731,0
12266,0
3862,0
17633,2
20135,0
21790,0
24667,0
23557,0
16454,2
12845,0
10336,2
11160,0
9516,2
4478,0
19908,1
13106,1
15548,0
818,0
5872,2
4524,0
7634,2
8814,1
13517,0
8208,0
16557,2
8326,0
22180,0
18275,1
25627,2
1678,1
6636,2
4919,0
19261,0
11779,1
8120,0
7106,0
16590,0
9064,1
4331,1
8269,2
15318,2
11957,0
13306,0
16538,1
4313,0
19690,1
3251,0
8658,2
12208,1
255,2
8240,2
6225,2
13715,1
19333,0
5754,2
5568,2
16829,0
8558,0
2567,1
21218,0
25065,0
3780,0
18086,0
19167,2
20537,0
6687,0
18819,2
17298,0
407,2
5375,0
18045,2
6417,1
18807,0
12619,2
283,1
4531,2
3984,0
3002,0
6365,0
6397,2
11107,0
5350,1
16344,0
15243,0
11215,2
7782,0
10294,0
23035,0
16903,1
2234,1
2188,2
25911,0
18852,0
18846,0
24240,0
16896,0
7351,0
16149,0
19487,2
3015,1
19577,0
12158,1
14448,2
26474,0
5497,0
21669,0
9265,2
6763,2
13031,2
7366,1
21129,2
12795,2
13253,2
18441,0
19833,0
9081,1
18811,0
16904,2
5225,0
15095,1
17132,2
26361,0
637,0
10321,0
12613,0
18952,2
9229,2
10006,2
22835,2
6438,0
4032,2
7258,2
8252,0
6816,0
17901,2
10627,0
24084,0
16664,0
12724,1
15658,1
10715,2
5765,2
3920,1
19028,2
23139,0
3910,0
9092,0
2977,0
7744,0
6355,0
4966,2
9662,0
7801,0
15234,0
6688,0
2928,2
15945,0
3601,0
5593,0
5007,0
19364,0
12701,0
2237,0
2227,0
5330,1
12849,0
14251,0
10842,2
13601,0
9651,0
7547,1
12454,1
25534,0
15887,0
16226,2
23188,0
10677,0
24118,0
17275,0
5526,0
2302,2
906,0
5200,0
6828,0
4961,0
13098,2
21044,0
17004,0
16680,0
21009,0
